TotalPopulation	LifeExpectancyM	LifeExpectancyF	LifeExpectancyB	HealthyLifeExpectancy	CHEperCapita	CHEpercGDP	MaternalMortality	BirthsSkilledPersonnel	ChildMortality	NeonatalMortality	Tuberculosis	HepatitisB	NTDinterventions	CVDcancerDiabetesCRD	Suicide	Alcohol	TrafficMortality	AdolescentBirth	UHCcoverageIndex	AirPollutionMortality	WASHmortality	PoisoningMortality	DTP3coverage	MCV2coverage	PhysicianDensity	NurseDensity	DentistDensity	PharmacistDensity	IHRCCS13	GGHEDGGE	CleanFuel	UrbanParticulate	NaturalDisaster	Homicide	MajorConflict
Fiji	899	67.1	73.1	69.9	61.3	175	3.6	30	100	22	8.8	59	0.34	905113	30.6	5	3	5.8	44.35	66	99	2.9	0.4	99	94	0.8	2.9	0.3	0.1	98	7.2	40	10.5	0.4	2.5	0
Finland	5503	78.7	84.2	81.4	71.7	4005	9.4	3	100	2.3	1.2	4.7	1.05	4	10.2	15.9	10.7	4.8	6.2	79	7.2	0.1	0.2	92	85	3.2	15	0.7	1.1	96	12.8	95	6.5	0.1	1.3	0.1
France	64721	80.1	85.7	82.9	73.4	4026	11.1	8	97	3.9	2.4	7.7	0.01	49	10.6	17.7	12.6	5.1	9.2	80	9.7	0.3	0.5	97	79	3.2	10.6	0.7	1.1	89	15.3	95	12.4	0.1	0.9	0.1
Gabon	1980	64.8	68.2	66.4	58.7	198	2.7	291	89	47.4	21.8	485	4.16	694499	14.4	7.1	11.5	22.9	91	52	76	20.6	0.9	75	89	0.4	2.9	0	0.1	52	7	79	37.8	0	8.8	0
Gambia	2039	60.6	63.3	61.9	54.4	32	6.7	706	57	65.3	27.5	174	1.17	177144	20.4	5.1	3.8	29.4	88	46	237	29.7	1.9	95	79	0.1	1.6	0	0.1	27	10.6	5	32.3	0.1	9.3	0
Georgia	3925	68.3	76.8	72.6	64.9	281	7.9	36	100	10.7	7.1	92	0.26	412310	24.9	8.2	9.8	11.8	47.9	66	101.8	0.2	0.8	92	85	4.8	4	0.5	0.1	74	10.5	78	24	0.1	4.6	0.1
Germany	81915	78.7	83.3	81	71.6	4592	11.2	6	99	3.8	2.3	8.1	0.24	111	12.1	13.6	13.4	4.3	7.8	79	16	0.6	0.2	95	93	4.2	13.8	0.9	0.7	97	21.4	95	11.9	0.1	0.7	0.1
Ghana	28207	62.5	64.4	63.4	56.4	80	5.9	319	71	58.8	26.9	156	3.61	15536910	20.8	5.4	2.7	26.2	59	45	203.8	18.8	1.7	93	75	0.1	0.9	0	0.1	74	7.1	22	31.1	0.2	9.7	0
Greece	11184	78.7	83.7	81.2	72	1505	8.4	3	97	3.8	2.3	4.4	0.37	77	12.4	5	10.4	9.1	8	70	27.6	0.1	0.2	99	83	6.3	3.4	1.2	1.1	76	9.1	94	16.4	0.2	1.1	0.1
Grenada	107	71	75.9	73.4	64.7	460	5	27	99	16	8.3	6.4	0.47	151	21.4	1.7	9.3	5.7	44.35	72	45.3	0.3	0.4	96	85	1.5	3	0.3	0.8	66	7.4	95	21.8	0.2	6.3	0
Guatemala	16582	70.4	76	73.2	64.2	224	5.7	88	66	28.5	14	24	0.05	3265661	14.9	2.7	2.4	19	92	57	73.8	6.3	1.1	80	65	0.9	0.9	0.2	0.25	55	14.9	45	24.2	0.2	25.8	0.1
Guinea	12396	59.4	60.2	59.8	52.2	25	4.5	679	72	89	25.1	176	7.47	7246135	22.4	6.3	1.3	27.3	146	35	243.3	44.6	3	57	89	0.1	0.4	0.3	0	59	2.7	5	22.2	0	8.9	0.2
Guinea-Bissau	1816	58.4	61.2	59.8	51.7	39	6.9	549	45	88.1	38.2	374	2.12	1576882	20	4	4.8	27.5	106	39	214.7	35.3	2.2	87	89	0.1	0.7	0	0	53	9.5	5	26.5	0	9.2	0.1
Guyana	773	63.6	69	66.2	58.3	184	4.5	229	86	32.4	20	93	0.95	720459	30.5	29.2	6.3	17.3	74	68	107.8	3.6	0.7	97	94	0.2	0.5	0.1	0.1	89	7.8	74	21.6	0.1	18.8	0.2
Haiti	10847	61.3	65.7	63.5	55.3	54	6.9	359	42	67	24.6	188	2.04	7581135	26.5	11.7	5.8	15.1	49	47	184.3	23.8	2.6	58	26	1.5	3	0.3	0.25	61	3.3	5	14.7	1.3	28	0
Honduras	9113	72.9	77.5	75.2	66.8	177	7.6	129	83	18.7	10.4	40	0.25	2752416	14	2.9	4	17.4	101	64	60.7	3.6	0.4	97	89	1.5	3	0.3	0.25	70	11.3	53	21.5	0.1	55.5	0.1
Hungary	9753	72.3	79.4	76	66.8	894	7.2	17	99	5.2	2.8	8.8	0.44	5	23	19.1	11.4	7.7	22.8	70	38.8	0.2	0.3	99	99	3.1	6.6	0.6	0.7	82	9.7	95	16.3	0.1	1.3	0.1
Iceland	332	80.9	83.9	82.4	73	4375	8.6	3	98	2.1	1	2.1	0.88	0	9.1	14	9.1	4.6	8	80	8.7	0.1	0.2	91	95	3.8	15.2	0.8	1.1	72	16.4	95	5.9	0	1.2	0.1
India	1324171	67.4	70.3	68.8	59.3	63	3.9	174	86	43	25.4	211	0.51	458855231	23.3	16.3	5.7	16.6	28.1	56	184.3	18.6	2.4	88	76	0.8	2.1	0.1	0.6	95	3.4	41	68	0.2	4.1	0.1
Indonesia	261115	67.3	71.4	69.3	61.7	112	3.3	126	93	26.4	13.7	391	1.07	101813236	26.4	3.4	0.8	15.3	40.1	49	112.4	7.1	0.4	79	56	0.2	1.3	0	0.1	99	7.4	58	16.4	0.1	4.5	0.1
Iran (Islamic Republic of)	80277	74.6	76.9	75.7	65.4	366	7.6	25	99	15.1	9.6	14	0.02	0	14.8	4.1	1	32.1	23	65	50.9	1	1.2	99	98	1.5	1.6	0.4	0.2	76	22.6	95	34.4	0.1	4.5	0.1
Iraq	37203	67.5	72.2	69.8	59	154	3.4	50	70	31.2	18.2	43	0.06	2170486	21.3	3	0.4	20.2	82	63	75.1	3	0.5	63	64	0.9	1.8	0.2	0.2	89	1.7	95	60.1	0.1	15.5	86.3
Ireland	4726	79.7	83.4	81.5	72.1	4757	7.8	8	100	3.6	2.2	7.1	0.01	2	10.3	11.5	13	4.1	8.6	78	11.9	0.1	0.2	95	89	3	12.4	0.6	1.1	78	18.4	95	8.7	0.1	0.8	0
Israel	8192	80.3	84.2	82.3	72.9	2756	7.4	5	97	3.6	2	3.5	0.48	233	9.6	5.4	3.8	3.6	9.7	80	15.4	0.2	0.1	94	97	3.6	5.1	0.8	0.8	71	9.5	95	19.4	0.1	1.8	0.3
Italy	59430	80.5	84.9	82.8	73.2	2700	9	4	100	3.3	2	6.1	0.61	12	9.5	8.2	7.5	6.1	5.1	80	15	0.1	0.3	93	83	4	5.7	0.8	1.1	90	13.4	95	15.7	0.2	0.8	0.1
Jamaica	2881	73.6	78.5	76	66.9	294	5.9	89	99	15.3	10.9	4.5	0.16	347536	14.7	2.2	4.2	11.5	45.7	60	25.4	0.6	0.2	99	85	0.5	1.7	0.1	0.1	83	12.6	90	13.6	0	39.1	0
Japan	127749	81.1	87.1	84.2	74.8	3733	10.9	5	100	2.7	0.9	16	1.95	5	8.4	18.5	8	4.7	4.1	80	11.9	0.2	0.4	99	93	2.4	11.2	0.8	1.7	100	9.5	95	11.8	0.1	0.3	0.1
Jordan	9456	72.7	76	74.3	66.4	257	6.3	58	100	17.6	10.6	5.6	1.01	126	19.2	2.9	0.7	26.3	26	70	51.2	0.6	0.6	98	99	3.4	3.1	0.9	1.6	72	12.4	95	31.7	0	2.9	0.1
Kazakhstan	17988	66.8	75.3	71.1	63.4	379	3.9	12	99	11.4	5.9	67	0.21	185	26.8	22.5	7.7	24.2	36	71	62.7	0.4	2.3	82	99	3.3	8.5	0.4	0.8	78	10.9	95	14.5	0.1	8.1	0.1
Kenya	48462	64.4	68.9	66.7	58.9	70	5.2	510	62	49.2	22.6	348	0.86	11770703	13.4	3.2	3.4	29.1	96	57	78.1	51.2	1.8	89	32	0.2	1.6	0	0.1	58	6.3	13	25.8	0.1	5.3	0.7
Kiribati	114	63.6	68.6	66.1	57.8	108	7.6	90	98	54.3	22.6	566	3.65	117424	28.4	14.4	0.4	2.9	49.9	40	140.2	16.7	2.6	81	79	0.2	4.6	0.2	0.1	60	6.3	6	10.9	0	9.1	0
Kuwait	4053	73.9	76	74.8	66.3	1169	4	4	100	8.4	4.4	24	0.11	6	17.4	2.3	0	18.7	6.1	77	103.8	0.1	0.2	99	96	2.6	7	0.7	0.5	85	6.2	95	58.9	0.1	2.7	0.2
Kyrgyzstan	5956	67.7	75.2	71.4	63.5	92	8.2	76	98	21.1	11.6	145	0.5	113625	24.9	8.3	6.2	22	44.35	66	110.7	0.8	0.6	96	98	1.9	6.4	0.2	0	50	9.9	81	17.4	0.3	5.8	0.1
Lao Peoples Democratic Republic	6758	64.2	67.4	65.8	57.9	53	2.8	197	40	63.9	28.7	175	1.94	2206011	27	8.6	10.4	14.3	75.6	48	188.5	11.3	0.9	82	89	0.5	1	0.1	0.2	75	3.8	6	25.5	0.1	7	0.1
Latvia	1971	70	79.6	75	66.2	784	5.8	18	100	4.6	2.4	37	0.51	11	21.9	21.2	12.9	10	18	64	41.3	0.1	0.8	98	89	3.2	4.9	0.7	0.8	90	8.9	95	14.4	0.1	6	0
Lebanon	6007	75.1	77.7	76.3	66.1	645	7.4	15	97	8.1	4.7	12	0.21	1	17.9	3.3	1.5	22.6	44.35	68	51.4	0.8	0.3	81	75	2.4	2.6	1	1.4	80	14.3	85	30.7	0	4.5	3.3
Lesotho	2204	51	54.6	52.9	46.6	91	8.4	487	78	93.5	38.5	724	1.64	530557	26.6	21.2	5	28.2	94	45	177.6	44.4	3.1	93	82	1.5	3	0.3	0.25	62	9.3	36	28.1	0	35	0.1
Liberia	4614	62	63.9	62.9	54.5	69	15.2	725	61	67.4	22.8	308	7.75	2919973	17.6	6.8	5.8	33.7	104.8	34	170.2	41.5	1.8	79	89	0	0.5	0	0	76	2.7	5	17	0	10	0
Libya	6293	69	75	71.9	62.3	366	6.3	9	100	12.9	7.1	40	0.27	1	20.1	5.2	0	23.8	10.9	63	71.9	0.6	0.6	97	96	2.1	6.9	0.7	0.6	64	9.5	85	41.7	0.1	2.5	28.7
Lithuania	2908	69.7	80.2	75	66.1	923	6.5	10	100	5.3	2.5	53	0.19	26	20.7	31.9	15	10.6	14.1	67	34	0.1	0.7	94	92	4.4	8.1	0.9	0.25	77	12.2	95	12.3	0.4	5.9	0
Luxembourg	576	80.1	84.6	82.4	72.6	6236	6	10	100	2.4	1.5	5.8	0.24	0	10	13.5	13	8.7	5.6	80	11.6	0.1	0.1	99	86	2.9	12.3	1	0.7	88	12.1	95	10.4	0	0.2	0
